Area,Perimeter,Eccentricity,Orientation,MajorAxisLength,MinorAxisLength,CentroidX,CentroidY,MeanR,MeanG,MeanB,StdR,StdG,StdB,RelacionAspecto,Circularidad,Compacidad,Etiqueta,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,Area_Scale,Perimeter_Scale,MajorAxisLength_Scale,MinorAxisLength_Scale,CentroidX_Scale,CentroidY_Scale,Circularidad_Scale,Compacidad_Scale,BoundingBox_Scale_1,BoundingBox_Scale_2,BoundingBox_Scale_3,BoundingBox_Scale_4,Clase,NombreImagen
15423,473.048,0.653878053748202,25.1176962515766,164.830769702965,124.710952822286,1026.06976593399,1543.12688841341,135.570641250081,112.789664786358,73.665240225637,23.0685501745533,21.9826296248687,20.3085469492795,1.32170243248682,0.866100523835442,14.5091363745056,14,945.5,1471.5,161,136,1.05152758229763,3.90681219819523,1.33337679651859,1.0510945909851,8.30025619592214,13.0058530458533,0.865735971585175,14.5152460181942,7.64849768875193,12.4021640091116,1.30238828967643,1.14624145785877,garbanzo,G_6.png
14991,475.026,0.657729191875643,-40.3731899511626,170.628354209506,128.526572055093,2136.39090120739,795.888866653325,148.525782135948,123.432259355613,91.0461610299513,20.1819967878105,20.0626818935444,19.7103205181391,1.32757259048631,0.834844723106228,15.0523447852712,15,2059.5,723.5,154,154,1.02682064853276,3.93207070442252,1.38668554117633,1.08325356857368,17.3623099556328,6.70794716769317,0.834568176777417,15.0573325990965,16.7374226006192,6.09783599088838,1.2515479876161,1.29794988610478,garbanzo,G_14.png
11481,552.252,0.694121685608029,49.8122185462176,144.844129588581,104.267159702329,1586.62111314345,622.37252852539,111.67363470081,115.252329936417,85.025955927184,35.8701880785359,32.6715067288234,51.0519157987136,1.38916347200877,0.473058648005923,26.5640860120199,21,1516.5,554.5,133,138,0.553712296983759,3.8352233035272,1.00819579760033,0.722450357488048,11.0437664487943,4.31231901787255,0.473056181075253,26.56422454051,10.5556844547564,3.84204119850187,0.925754060324826,0.956179775280899,alverjita,img1.jpeg
9117,415.446,0.634512114432438,52.7610053387986,123.260126621362,95.2693439667128,1205.85236371613,177.562575408577,106.814193265329,110.724799824504,89.9650104200943,31.9803397183082,29.6457705512879,39.1277958139368,1.29380681643435,0.663792979920228,18.9311592537019,8,1150.5,119.5,109,117,0.439475711892797,2.8846550614182,0.867156669698021,0.652771430883032,8.48338346332959,1.21663246113284,0.663677301372024,18.9344589431952,8.09396984924623,0.818796296296296,0.766834170854271,0.801666666666667,alverjita,img6.jpeg
17103,508.03,0.584385045355454,-83.1603834642273,178.875858639879,145.15355666386,2247.18277495176,1122.43840261942,144.527392855055,124.489329357423,89.6498275156405,27.5301186492364,25.7033987253599,22.3806882430516,1.23232156862757,0.832728525879086,15.0905970239139,13,2178.5,1030.5,140,178,1.09282098303496,4.06664639852635,1.35609856730594,1.22338988532183,17.0364037090206,9.46018699246439,0.830397563756987,15.1329569868977,16.5157039711191,8.68530751708428,1.06137184115523,1.5002277904328,garbanzo,G_3.png
36520,764.776,0.895591411945639,55.1645297877888,324.363371731884,144.301977880672,2236.11399233297,380.258789704272,72.4266429353779,65.2859802847755,66.4833242059146,32.1248929683021,33.480584919908,26.9131387278607,2.24780960383032,0.784643048967302,16.0153978690033,8,2123.5,239.5,222,280,1.66608187134503,5.16608621761901,2.15968002738414,0.988735774367567,14.8885205577021,2.60547689241816,0.784481855385095,16.0186886772422,14.1387127457197,1.64101851851852,1.47812301838935,1.91851851851852,frejol_rojo,img5.jpeg
15964,475.53,0.533315545701634,37.5081814869084,163.442697447071,138.258855614988,2046.76998246054,873.192057128539,150.71423202205,128.625407166124,95.6361814081684,19.288948710258,18.1195780543476,17.8493506822561,1.18214993694301,0.887147313531684,14.1649198759709,15,1971.5,799.5,156,149,1.08590273120904,3.92287542612219,1.3190994029164,1.16527964869124,16.5188968607499,7.35947747465967,0.886730722036282,14.171574641625,15.9114142966949,6.73838268792711,1.25903151421983,1.25580865603645,garbanzo,G_12.png
32293,727.816,0.883038830307519,56.4228860509511,296.867542608905,139.31991692487,2718.48227169975,410.704548973462,71.5419131081039,66.2594370296968,67.6191744340879,36.5589828336804,36.1995303343179,30.32308816206,2.13083347421888,0.766081648976437,16.4034351053169,14,2617.5,279.5,202,263,1.5948959715493,5.11500598958524,2.07048103446928,0.986571660520608,18.9598564283277,2.90833843292212,0.766037326516675,16.404384198223,18.2555629359017,1.97923444976077,1.40883427432747,1.86239234449761,frejol_rojo,img4.jpeg
13485,440.299,0.539114044650907,-46.1655844746995,147.455325926202,124.191708306233,342.261920652577,1502.74920281795,139.539710789766,118.703299962922,85.3674453096033,26.8769457980448,24.3062262794975,21.2466555702961,1.18732021595681,0.874108647320059,14.3762113015202,5,270.5,1427.5,138,143,0.997389405507902,3.78741710441521,1.294008292708,1.04671827046255,3.00355216619478,12.6655399781923,0.87375232105132,14.3820740862113,2.3737985791893,12.0313211845103,1.21103217718345,1.20523917995444,garbanzo,g_7.png
12923,420.695,0.60588072186905,83.3360236125474,146.559526913056,116.596237463198,1275.34767468854,593.846010988161,143.814981041554,132.194072583765,99.6513193530914,23.772467553111,22.1645596302555,20.619500894395,1.25698333069551,0.917568524581498,13.695293896541,13,1217.5,527.5,116,140,0.877025570524198,3.46660951977095,1.18011889002077,0.982701773607823,10.2692872578448,5.00508027484327,0.917090657402998,13.7024300846597,9.80348926380368,4.44589977220957,0.934049079754601,1.17995444191344,garbanzo,G_13.png
12785,421.516,0.287995956894626,54.482344857556,138.484404729774,132.617045510491,1942.82323034806,544.888541259288,147.528040672663,127.757528353539,95.7212358232303,19.5010433384334,19.5385885032414,19.9671908699892,1.04424287388319,0.904237403944805,13.8972028358232,16,1875.5,477.5,134,132,0.934292993798307,3.60370177623869,1.20073183291711,1.11772908516815,16.8452881244052,4.59245467576166,0.904055866040878,13.8999934477401,16.2615606936416,4.0244874715262,1.16184971098266,1.1125284738041,garbanzo,G_5.png
15339,473.543,0.569601992512755,11.0887796028777,163.221222472856,134.154894780818,749.212921311689,1017.86531064607,137.951105026403,121.743138405372,89.0498728730687,25.4741723072192,23.3267396392138,21.0219210874027,1.21666244634253,0.859583497331943,14.6191389822674,11,668.5,952.5,156,132,1.04580053069204,3.91090030772768,1.32035657624421,1.13069045715041,6.06065922478639,8.57881924690306,0.859221688177439,14.6252949468893,5.40774268104777,8.02790432801822,1.26194144838213,1.1125284738041,garbanzo,G_6.png
38479,720.08,0.266827500710703,-19.5627480838344,226.726439715476,218.506315003379,2414.4923464747,892.402973050235,79.5128251773695,72.8475532108423,71.6773045037553,36.7580749515047,36.2975227127021,29.2801307850126,1.03761962079663,0.932550036916192,13.475277590374,11,2299.5,778.5,233,230,2.02929544044241,5.22932616136289,1.65378785481938,1.57982093895946,17.6117885640739,6.45215632688983,0.932531869754515,13.4755401096021,16.7730114623133,5.62862725940401,1.69954845432442,1.66292134831461,frejol_rojo,img3.jpeg
26068,933.992,0.70402323469071,40.1605447580928,216.734730896153,153.920007812902,3005.80086696333,1757.10415068283,124.969617922357,103.403444836581,75.1911922663802,17.6506552288315,21.1739276464924,27.2588117221107,1.40809979141636,0.375518436164355,33.4640576977137,15,2906.5,1665.5,196,186,0.996837016197318,5.77615838453514,1.32270541959291,0.964443740741302,18.3440331898372,11.0097973878518,0.375453220652749,33.4698703410021,17.7380122057541,10.435817104149,1.19616390584133,1.16545300592718,frejol_canario,img3.jpg
15208,483.221,0.680867296618436,-30.121403261986,177.629849198217,130.09730988555,1272.86954234613,1033.46626775381,143.4456864808,132.23204892162,99.1101394003156,26.0068875361563,24.4873633933938,22.3958547273787,1.36536143102791,0.818446636706995,15.3539278564571,12,1198.5,956.5,159,148,1.03209818745895,3.98183605403734,1.43030169983227,1.09649213343175,10.2493329713454,8.71030795145584,0.81802039193665,15.3619283067119,9.65049846625767,8.06161731207289,1.28029141104294,1.24738041002278,garbanzo,G_13.png
